pillar	capacity	indicator	score	attribute
Respond	R.5 Risk Communication and Community Engagement	R5.2. Risk communication	3	"Risk communication plans, policies and procedures for response and coordination are in place. Risk communication function is included in the emergency response structure and appointed spokespersons are trained in risk communication. Infodemics management and insights analysis are functioning in a routine manner. There is some analysis of target audiences based on language, trusted information resources and preferred communication channels to inform risk communication interventions"
Respond	R.5 Risk Communication and Community Engagement	R5.2. Risk communication	4	"There is planned communication with ongoing proactive outreach through a variety of channels (e.g., hotline, complaint systems, social listening); online and offline media are monitored daily for feedback, and insights and data are used to adjust and improve risk communication strategies. There is strong infodemic management using search mechanisms for online or/and offline sources to shape messages and strategies. There is coordination of risk communication strategies and messages across sectors and levels of government"
Respond	R.5 Risk Communication and Community Engagement	R5.2. Risk communication	5	"Risk communication activities are implemented through a whole-of- government approach, with the involvement of all actors including international and national partners, media and influencers.Communication is conducted through online and offline channels in a timely, accessible and understandable way. Evidence and data gathered through measurement and evaluation are used systematically for continuous learning and improvement of RCCE interventions"
Respond	R.5 Risk Communication and Community Engagement	R5.3. Community engagement	1	"Mechanisms for community engagement in public health emergencies, including guidelines and/or SOPs, are in development. Community engagement activities are largely one-way information sharing activities and limited to disease control programmes – such as maternal and child health, malaria, tuberculosis, HIV/AIDS, polio, neglected tropical diseases. Community engagement efforts are not systematically linked to the emergency response"
Respond	R.5 Risk Communication and Community Engagement	R5.3. Community engagement	2	"Mechanisms for systematic community engagement in public health emergencies, including guidelines and/or SOPs, have been developed. Community engagement activities involve some community participation, including consulting and gathering their feedback on decisions and actions"
Respond	R.5 Risk Communication and Community Engagement	R5.3. Community engagement	3	"Communities are actively involved in emergency response and co-design emergency response initiatives. Stakeholders, such as community leaders, faith-based organizations and civil society are mapped and but only engaged on ad hoc basis. Formal or informal community feedback mechanisms, such as hotlines and social-behavioural research, are established and used to inform emergency responses. Community engagement coordination mechanisms exist at national and intermediate and community levels"
Respond	R.5 Risk Communication and Community Engagement	R5.3. Community engagement	4	"Communities are actively involved in emergency response and co-design emergency response initiatives. Stakeholders, such as community leaders, faith-based organizations, and civil society are mapped and systematically engaged. Emergency responders are trained and surge capacity mechanisms for community engagement are in place and operational. Collection and analysis of community feedback and socio-behavioural data at national, intermediate and primary public health response level is conducted on an ad hoc basis"
Respond	R.5 Risk Communication and Community Engagement	R5.3. Community engagement	5	"Communities are active partners in emergency response and participate in planning, design and implementation of interventions. There is systematic collection and analysis of community feedback, socio-behavioural and infodemics insights data at national, intermediate and primary public health response level. Evidence gathered from data analysis are used systematically for continuous improvement of community engagement response to health emergencies"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	"PoE1. Core capacity requirements at all times for PoEs (airports, ports and ground crossings)"	1	A strategic risk assessment for the designation of individual PoEs as an integral part of a national risk assessment has not been completed
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	"PoE1. Core capacity requirements at all times for PoEs (airports, ports and ground crossings)"	2	Some designated PoEs are implementing some of the routine core capacities based on a completed associated strategic risk assessment
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	"PoE1. Core capacity requirements at all times for PoEs (airports, ports and ground crossings)"	3	"Some designated PoEs are implementing all the routine core capacities and these designated PoE are integrated into the national surveillance system for biological hazards/all hazards (e.g., event-based and early warning surveillance)"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	"PoE1. Core capacity requirements at all times for PoEs (airports, ports and ground crossings)"	4	All designated PoEs are implementing routine core capacities with an all- hazard and multisectoral approach integrated into the national surveillance system. Other non-designated PoEs are integrated into the national surveillance system
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	"PoE1. Core capacity requirements at all times for PoEs (airports, ports and ground crossings)"	5	"Routine core capacities implemented at all designated PoEs are exercised, reviewed, evaluated, updated and actions are taken to improve capacity on a regular basis"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE2. Public health response at PoEs	1	PoEs designated based on a strategic risk assessment are in the process of developing a PoE multisectoral public health emergency contingency plan
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE2. Public health response at PoEs	2	Some designated PoEs have developed a PoE multisectoral public health emergency contingency plan for events caused by biological hazards
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE2. Public health response at PoEs	3	All designated PoEs have developed PoE multisectoral public health emergency contingency plans for events caused by biological hazards and are integrated into national surveillance systems and emergency response plans. Other non-designated PoEs are integrated into the national surveillance system
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE2. Public health response at PoEs	4	All designated PoEs have developed PoE multisectoral public health emergency contingency plans for events caused by all hazards and integrated into national emergency response plans. Contingency planning is conducted at some non-designated PoEs
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE2. Public health response at PoEs	5	"All PoE public health emergency contingency plans for events caused by all hazards all designated PoEs are exercised, reviewed, evaluated and updated on a regular basis. Some non-designated PoEs have developed PoE multisectoral public health emergency contingency plans for events caused by all hazards and are integrated into national emergency response plans"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE3. Risk-based approach to international travel-related measures	1	"National multisectoral mechanism to conduct risk-based approaches for strategic planning for international travel-related measures, including prevention, detection/investigation, response and recovery, is under development"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE3. Risk-based approach to international travel-related measures	2	A national multisectoral strategy for international travel related measures is developed based on a risk-based approach with identified and assigned responsibilities
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE3. Risk-based approach to international travel-related measures	3	Guidelines and SOPs are developed to facilitate the implementation of the strategy for international travel-related measures. Country has capacities/ arrangements are in place to calibrate and implement the national multisectoral strategy for international travel-related measures
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE3. Risk-based approach to international travel-related measures	4	"Country has capacities/arrangements are in place to implement, adjust and adapt international travel related measures that are commensurate to the risks and to implement the national multisectoral strategy for international travel-related measures"
IHR Related Hazards and Points of Entry and Border Health	PoE: Points of Entry and Border Health	PoE3. Risk-based approach to international travel-related measures	5	"Country has conducted at least one review, exercise or evaluation (either through an actual event or an exercise) at national and/or intermediate levels to test the national multisectoral strategy for international travel-related measures, and updated accordingly"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE1. Mechanisms established and functioning for detecting and responding to chemical events or emergencies	1	No mechanism in place
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE1. Mechanisms established and functioning for detecting and responding to chemical events or emergencies	2	"Guidelines or manuals on surveillance, assessment and management of chemical events, intoxication and poisoning are available"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE1. Mechanisms established and functioning for detecting and responding to chemical events or emergencies	3	"Surveillance is in place for chemical events, intoxication and poisonings with laboratory capacity or access to laboratory capacity to confirm priority chemical events"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE1. Mechanisms established and functioning for detecting and responding to chemical events or emergencies	4	"Timely and systematic information exchange between appropriate chemical units, surveillance units and other relevant sectors about acute chemical events and potential chemical risks and their response"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE1. Mechanisms established and functioning for detecting and responding to chemical events or emergencies	5	"Adequately resourced poison centre(s) are in place and the country has a demonstrated ability to respond to chemical emergencies at national, intermediate and primary public health levels"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE2. Enabling environment in place for management of chemical events	1	"National policies, plans or legislation for chemical event surveillance, alert and response do not exist"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE2. Enabling environment in place for management of chemical events	2	"National policies, plans or legislation for chemical event surveillance, alert and response exist"
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE2. Enabling environment in place for management of chemical events	3	A chemical event response plan is in place that defines roles and responsibilities of relevant agencies and considers all major hazard sites and facilities
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE2. Enabling environment in place for management of chemical events	4	Functional mechanisms for multisectoral coordination and collaboration to manage chemical events are in place including involvement in international chemical/toxicological networks
IHR Related Hazards and Points of Entry and Border Health	CE: Chemical Events	CE2. Enabling environment in place for management of chemical events	5	A chemical event response plan has been tested through occurrence of a real event or through SimEx and is updated as needed
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE1. Mechanisms established and functioning for detecting and responding to radiological and nuclear emergencies	1	"National policies, strategies or plans for the detection, assessment and response to radiation emergencies are not established"
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE1. Mechanisms established and functioning for detecting and responding to radiological and nuclear emergencies	2	"National policies, strategies or plans for the detection, assessment, and response to radiation emergencies are established and radiation monitoring mechanisms exist for radiation emergencies that may constitute a PHEIC"
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE1. Mechanisms established and functioning for detecting and responding to radiological and nuclear emergencies	3	"Technical guidelines or SOPs are developed, evaluated and updated for the management of radiation emergencies (including risk assessment, reporting, event confirmation and notification, and investigation)"
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE1. Mechanisms established and functioning for detecting and responding to radiological and nuclear emergencies	4	Systematic information exchange between competent radiological authorities and human health surveillance units about urgent radiological events and potential risks that may constitute a PHEIC is ensured
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE1. Mechanisms established and functioning for detecting and responding to radiological and nuclear emergencies	5	Mechanism is in place to access health facilities with capacity to manage patients of radiation emergencies
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE2. Enabling environment in place for management of radiological and nuclear emergencies	1	No coordination and communication mechanism are organized between national authorities responsible for radiological and nuclear events with health ministry and/or National IHR Focal Point
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE2. Enabling environment in place for management of radiological and nuclear emergencies	2	National authorities responsible for radiological and nuclear events have a designated focal point for coordination and communication with the health ministry and/or National IHR Focal Point
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE2. Enabling environment in place for management of radiological and nuclear emergencies	3	"A radiation emergency response plan exists (could be part of the national emergency response plan) and national policies, strategies or plans for national and international transport of radioactive materials, samples and waste management including those from hospitals and medical services are established"
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE2. Enabling environment in place for management of radiological and nuclear emergencies	4	Functional coordination and communication mechanisms exist between relevant national competent authorities responsible for nuclear regulatory control/safety and relevant sectors
IHR Related Hazards and Points of Entry and Border Health	RE: Radiation Emergencies	RE2. Enabling environment in place for management of radiological and nuclear emergencies	5	"Radiation emergency response drills and other exercises carried out regularly, including the requesting of international assistance (as needed) and international notification"
